Truck_id: 25
Total Reward: 20600€
=================================
  OrderId			Reward
=================================
   166			     631€
   328			    1990€
   176			    1569€
   334			    1956€
   145			    1800€
   434			    1843€
   306			    1633€
   199			    1477€
    73			    1627€
   104			    1309€
   141			     453€
   132			     748€
   240			    1243€
   154			     795€
   422			    1936€
    26			    1918€
   411			    1509€
    87			    1204€
   312			    1636€
   121			    1537€
    99			    1819€
   230			    1714€
   399			    1185€
   437			     801€
    28			     564€
   395			     751€
=================================
N_Orders: 26	T_Reward: 35648€
