id volMax pesoMax custo
1241 281 287 14581
1240 360 331 15444
1239 268 346 14777
1238 259 310 16154
1237 281 287 14581
1236 268 346 14777
1235 394 351 15473
1234 278 386 16833
1233 394 351 15473
1232 310 387 14105
1231 255 275 13025
1230 287 342 15977
1229 259 354 13356
1228 278 386 16833
1227 385 254 14819
1226 336 345 14342
1225 378 272 15057
1224 258 289 14932
1223 368 308 16575
1222 365 259 16982
1221 344 306 14015
1220 308 371 13865
1219 370 366 13618
1218 328 398 13956
1217 287 304 15787
1216 256 289 14860
1215 281 287 14581
1214 258 289 14932
1213 393 377 16543
1212 335 265 15168
1211 253 386 13481
1210 397 321 13931
1209 288 346 13476
1208 287 342 15977
1207 385 254 14819
1206 335 381 15531
1205 281 287 14581
1204 309 377 15136
1203 278 386 16833
1202 366 375 15556
1201 265 274 14952
1200 365 259 16982
1199 394 379 13241
1198 397 321 13931
1197 370 366 13618
1196 277 399 14862
1195 310 387 14105
1194 281 287 14581
1193 355 322 13718
1192 292 316 16581
