volMax pesoMax custo
1 391 395 13796
2 325 316 13378
3 255 275 13025
4 343 277 15226
5 344 306 14015
6 365 259 16982
7 288 346 13476
8 382 304 14967
9 256 289 14860
10 265 274 14952
11 287 342 15977
12 393 377 16543
13 366 375 15556
14 259 354 13356
15 365 301 13406
16 394 379 13241
17 281 287 14581
18 262 384 15363
19 397 321 13931
20 268 346 14777
21 296 271 13742
22 394 351 15473
23 336 345 14342
24 292 316 16581
25 398 378 15048
26 368 308 16575
27 355 322 13718
28 285 258 13044
29 292 289 14548
30 335 265 15168
31 277 399 14862
32 259 310 16154
33 278 386 16833
34 308 371 13865
35 310 387 14105
36 258 289 14932
37 370 366 13618
38 253 386 13481
39 385 254 14819
40 395 315 16790
41 328 398 13956
42 309 377 15136
43 388 268 14521
44 262 389 15106
45 335 383 16287
46 378 272 15057
47 335 381 15531
48 376 262 16090
49 287 304 15787
50 360 331 15444
