id volume peso recompensa duração(s)
727 19 10 1820 348
7264 13 3 203 818
11532 3 3 699 786
4449 13 26 1253 542
10011 19 22 1804 622
6702 25 6 647 415
4251 7 20 1241 674
9397 6 26 1991 318
9770 6 26 1291 1035
7318 13 9 820 552
2898 22 19 470 470
9607 22 29 1448 487
7198 16 13 1477 513
3806 10 26 1229 237
12799 6 29 1859 261
8946 13 10 606 592
8990 19 13 1537 614
9352 23 20 1786 1041
4658 16 16 706 408
12869 22 28 1717 549
9040 26 20 1645 318
3758 26 7 618 442
3119 10 19 709 692
10610 19 19 1956 207
630 22 16 1598 841
12863 19 22 1200 449
5020 7 26 1257 632
2295 20 26 1863 104
819 3 13 1210 892
8776 25 28 1521 284
9332 22 29 1448 487
3298 7 10 801 919
9750 13 26 396 664
12145 19 22 691 728
11774 23 7 936 609
6844 16 20 816 1079
7365 16 19 1193 338
9249 25 28 1909 396
12101 3 19 754 984
2958 6 6 1058 294
14161 25 19 1889 468
8972 26 29 267 777
2616 19 29 1523 353
3690 16 10 1508 454
1250 16 29 1730 638
13077 22 29 1500 828
7357 23 16 1918 1042
12606 13 20 1925 840
10421 3 10 984 463
9714 26 26 496 520
7245 19 3 522 1009
9370 6 16 618 1039
4939 22 16 644 313
12441 26 22 1065 616
4555 3 19 585 827
12279 6 13 1713 686
11490 3 10 1791 520
10690 28 6 1208 309
5577 22 16 1175 863
10067 26 26 496 520
3774 6 6 442 900
3371 13 10 483 694
7602 6 26 1991 318
602 10 22 1694 969
5960 3 19 1432 1051
8476 28 9 1185 918
7743 3 22 940 937
1779 25 22 861 590
4165 3 3 1563 535
13008 28 6 707 517
2942 16 6 755 874
14213 13 16 1894 625
6382 13 3 699 1056
6325 6 6 1445 1014
7501 13 3 455 292
992 13 3 690 686
3316 26 22 1487 269
1046 6 28 1820 271
11242 7 10 1672 419
1055 13 25 550 100
14129 6 26 1991 318
4462 6 6 631 145
11099 3 20 1434 362
9078 6 13 1201 715
5425 3 19 600 422
4274 28 6 1065 121
1511 9 25 849 1008
14315 3 16 1105 256
2127 3 19 1928 713
12327 26 29 610 917
7869 22 13 226 631
4634 3 10 1475 786
1790 19 13 1537 614
11249 9 13 211 1039
13121 19 19 1990 106
6389 6 22 562 614
14221 6 6 779 122
13303 16 22 491 581
3296 28 6 1636 436
1868 22 19 1628 332
12742 13 29 626 332
1902 10 13 419 950
8499 26 29 610 917
10894 3 23 1410 1028
5492 25 22 1331 509
1640 6 19 1591 138
9506 9 19 1281 241
9821 6 6 1445 1014
10670 10 13 1315 328
6551 22 13 293 191
9169 20 23 204 293
8798 16 29 1694 404
13062 13 26 1639 927
7349 6 22 794 783
5901 26 6 774 314
13803 13 25 1026 365
11595 16 20 816 1079
8528 29 20 1160 237
5100 3 3 699 786
13633 13 9 820 552
11844 7 13 898 325
2133 16 19 234 1001
13629 23 7 936 609
2654 13 6 580 558
8894 28 9 1185 918
9551 13 29 1511 325
3722 6 26 1291 1035
3058 9 13 211 1039
4786 10 22 1694 969
10671 23 16 1918 1042
8463 7 13 898 325
5526 28 25 952 377
7464 23 23 1382 991
8506 13 13 1008 398
9218 6 16 618 1039
12242 22 22 265 766
165 16 19 1193 338
11474 28 6 1065 121
11209 29 23 1148 789
1409 29 16 584 203
8844 29 22 561 236
3291 19 13 1040 651
12239 9 6 748 381
3748 6 3 1176 551
6239 10 3 1886 632
6951 10 26 410 192
8653 26 20 971 308
8554 26 22 1165 1100
10291 3 3 575 287
2448 3 16 753 124
6465 28 16 327 1010
6059 6 6 631 145
5158 10 7 1801 301
13325 19 19 873 118
3668 19 22 735 193
878 22 16 982 229
12362 23 16 1936 498
5387 3 16 220 351
5376 3 16 1456 192
1919 13 26 1073 1066
4534 20 13 636 446
1733 7 13 1210 414
9866 6 6 1921 197
10144 3 19 585 827
9965 25 19 1889 468
8887 22 16 644 313
13632 22 25 224 467
6046 3 13 633 583
10160 26 22 1513 447
1662 10 19 709 692
8393 19 3 638 618
8689 20 3 1785 160
12062 16 6 1188 697
835 29 20 1972 641
4472 16 10 1309 888
13560 13 6 1699 1020
13431 19 25 854 790
12453 6 19 486 789
960 6 19 1243 977
1558 6 16 1023 132
10242 19 16 1351 615
10014 26 29 610 917
4263 13 22 590 660
4846 3 19 600 422
7172 13 23 560 244
6508 3 7 1565 226
11791 16 29 1083 521
13216 7 10 801 919
4082 26 26 716 445
1443 19 22 735 193
10086 20 13 1054 815
9548 16 19 1193 338
7154 28 16 327 1010
4089 26 26 1790 648
8957 20 16 851 446
3588 16 3 836 819
5616 16 13 1477 513
4288 3 13 1313 1080
11156 16 29 533 935
13107 16 13 1121 641
10945 9 13 211 1039
6244 25 19 1889 468
3959 22 16 644 313
6352 25 22 580 176
4463 16 3 704 1025
6711 6 3 453 537
7744 6 6 1921 197
7864 3 22 940 937
3317 20 7 386 964
4931 22 3 1492 283
4724 6 29 1859 261
11615 13 25 1467 1058
5978 23 29 1789 900
12218 3 3 575 287
7615 19 22 735 193
11131 3 13 1907 307
1447 25 22 580 176
4858 10 3 547 766
4414 22 3 480 1037
10073 28 6 707 517
12806 10 13 419 950
12451 9 19 1281 241
2884 10 10 1856 576
9688 16 16 772 229
11852 29 16 1442 123
8585 16 6 1332 642
6997 19 13 1875 107
4563 6 6 442 900
6958 28 25 952 377
3444 19 25 305 782
8336 22 3 338 357
3333 19 22 1200 449
11359 16 16 878 697
6387 23 13 206 128
10572 19 9 1897 881
10468 6 19 1185 822
5695 28 25 952 377
1617 26 20 971 308
8735 23 23 881 353
9939 22 16 1819 768
257 19 3 784 755
333 29 20 1704 502
5953 16 10 1508 454
10128 13 25 1467 1058
14024 10 19 1278 267
7819 22 29 1448 487
1216 10 3 547 766
14260 23 23 881 353
3974 7 3 1823 958
3598 20 10 1663 207
11115 3 13 1502 270
11469 19 22 1804 622
653 25 19 1889 468
4777 13 3 699 1056
9868 23 20 437 996
9615 19 28 946 1021
1547 19 22 1804 622
14137 19 6 217 732
