id volMax pesoMax custo
329 391 395 13796
349 397 321 13931
672 394 351 15473
1046 385 254 14819
65 292 289 14548
969 310 387 14105
954 287 304 15787
1331 395 315 16790
1384 328 398 13956
1256 256 289 14860
1195 310 387 14105
1211 253 386 13481
284 262 389 15106
430 287 342 15977
889 262 384 15363
265 391 395 13796
1060 255 275 13025
764 344 306 14015
1240 360 331 15444
1102 360 331 15444
1039 393 377 16543
571 365 301 13406
434 278 386 16833
523 355 322 13718
251 292 316 16581
1239 268 346 14777
296 388 268 14521
5 370 366 13618
456 256 289 14860
942 277 399 14862
919 344 306 14015
1055 344 306 14015
741 253 386 13481
1091 335 265 15168
