id volume peso recompensa duração(s)
14399 7 20 1880 705
14398 16 13 1477 513
14397 19 13 884 455
14396 22 29 1500 828
14395 3 13 355 737
14394 16 6 1332 642
14393 7 26 1166 552
14392 13 6 1699 1020
14391 19 6 1204 453
14390 26 22 1513 447
14389 6 3 615 970
14388 13 25 1467 1058
14387 19 3 784 755
14386 13 9 820 552
14385 19 19 1956 207
14384 6 19 406 430
14383 22 10 1079 154
14382 13 3 621 723
14381 3 19 952 540
14380 6 19 1591 138
14379 6 16 1023 132
14378 6 16 1023 132
14377 13 3 699 1056
14376 19 22 1260 355
14375 6 19 486 789
14374 7 10 801 919
14373 10 6 1765 970
14372 13 23 560 244
14371 6 29 834 900
14370 7 7 828 643
14369 28 6 1953 299
14368 3 10 579 103
14367 22 13 667 765
14366 19 3 762 269
14365 26 20 971 308
14364 7 13 734 917
14363 9 6 748 381
14362 29 29 763 971
14361 7 10 1672 419
14360 7 10 1630 963
14359 10 10 553 631
14358 19 16 1319 385
14357 3 3 355 869
14356 13 20 1951 729
14355 16 10 396 514
14354 28 16 327 1010
14353 7 7 1524 189
14352 6 6 779 122
14351 13 13 1679 146
14350 19 25 1263 748
14349 22 13 226 631
14348 9 19 1281 241
14347 16 3 227 464
14346 9 25 1529 1008
14345 25 13 546 1056
14344 3 16 1456 192
14343 13 16 1894 625
14342 3 22 1662 201
14341 16 3 1518 1053
14340 19 25 844 478
14339 26 7 618 442
14338 19 9 1059 580
14337 13 16 1785 297
14336 25 16 1200 591
14335 3 3 1563 535
14334 29 29 969 833
14333 3 13 751 234
14332 10 10 553 631
14331 3 16 220 351
14330 13 29 1255 923
14329 22 25 224 467
14328 6 22 562 614
14327 22 10 1079 154
14326 3 13 472 300
14325 29 26 719 600
14324 6 3 1347 609
14323 23 26 1594 1052
14322 23 7 983 372
14321 26 6 774 314
14320 13 10 606 592
14319 3 19 952 540
14318 7 13 734 917
14317 16 16 1633 195
14316 26 26 496 520
14315 3 16 1105 256
14314 7 20 1241 674
14313 29 20 1704 502
14312 22 13 709 953
14311 3 13 355 737
14310 16 13 707 359
14309 16 3 477 194
14308 16 26 1789 1077
14307 19 22 1804 622
14306 29 13 1014 130
14305 13 25 1026 365
14304 26 29 1233 434
14303 23 26 1594 1052
14302 10 23 1205 1088
14301 26 6 1156 1073
14300 19 6 217 732
14299 13 10 483 694
14298 3 3 1563 535
14297 6 22 794 783
14296 3 19 952 540
14295 23 29 1789 900
14294 26 22 1487 269
14293 22 19 1628 332
14292 9 16 814 281
14291 19 19 1990 106
14290 25 28 1370 535
14289 13 26 1253 542
14288 25 6 653 107
14287 20 23 1325 338
14286 20 26 1863 104
14285 22 3 480 1037
14284 16 10 1081 1064
14283 22 9 1805 279
14282 19 3 1814 369
14281 3 19 1928 713
14280 29 29 763 971
14279 16 29 1083 521
14278 13 13 1679 146
14277 3 20 1434 362
14276 22 19 783 277
14275 22 29 1500 828
14274 22 13 293 191
14273 26 26 1790 648
14272 7 20 1241 674
14271 6 6 1921 197
14270 16 10 396 514
14269 22 3 1565 763
14268 3 20 1263 905
14267 6 13 1201 715
14266 26 29 610 917
14265 13 20 1925 840
14264 19 16 1489 751
14263 28 16 327 1010
14262 16 28 1863 653
14261 28 9 1185 918
14260 23 23 881 353
14259 23 20 437 996
14258 13 3 203 818
14257 6 6 631 145
14256 7 3 1823 958
14255 26 26 1170 838
14254 3 13 1313 1080
14253 19 3 1814 369
14252 3 10 579 103
14251 28 9 1185 918
14250 25 6 647 415
14249 13 6 490 406
14248 26 6 774 314
14247 3 9 1558 1056
14246 22 10 1233 546
14245 7 7 1524 189
14244 16 3 836 819
14243 16 23 746 416
14242 20 26 1863 104
14241 28 19 828 888
14240 3 23 571 632
14239 9 9 427 447
14238 13 13 1710 800
14237 28 25 952 377
14236 3 7 1565 226
14235 16 23 746 416
14234 13 26 396 664
14233 13 6 1987 926
14232 29 20 1991 704
14231 3 22 1662 201
14230 13 13 1679 146
14229 13 26 1073 1066
14228 23 16 1918 1042
14227 6 22 597 540
14226 19 22 691 728
14225 26 26 1261 1009
14224 3 3 575 287
14223 26 22 1348 605
14222 7 16 764 617
14221 6 6 779 122
14220 29 29 1019 326
14219 13 23 916 1026
14218 16 29 1083 521
14217 29 10 1657 287
14216 10 3 1641 417
14215 22 28 347 1058
14214 6 19 406 430
14213 13 16 1894 625
14212 3 9 1558 1056
14211 3 23 1410 1028
14210 13 23 916 1026
14209 20 10 1569 720
14208 23 3 1396 143
14207 3 13 751 234
14206 10 6 542 430
14205 28 22 1166 491
14204 19 25 844 478
14203 7 10 1672 419
14202 6 6 631 145
14201 20 13 848 198
14200 16 16 287 918
14199 3 19 754 984
14198 22 16 1598 841
14197 19 13 1875 107
14196 23 26 1594 1052
14195 3 10 1791 520
14194 10 6 1765 970
14193 7 23 907 152
14192 22 6 683 553
14191 22 28 347 1058
14190 6 19 1591 138
14189 19 22 1260 355
14188 20 10 1663 207
14187 13 20 1925 840
14186 6 28 1820 271
14185 6 6 631 145
14184 22 10 1233 546
14183 3 13 1210 892
14182 10 13 414 478
14181 19 13 1784 152
14180 19 22 1260 355
14179 16 29 1739 656
14178 10 7 1801 301
14177 19 28 946 1021
14176 7 10 1672 419
14175 29 20 1991 704
