volume peso recompensa duração(s)
16 3 227 464
13 20 1951 729
13 6 1699 1020
22 19 470 470
13 23 560 244
25 22 861 590
19 22 1440 777
23 23 1366 481
28 19 1240 826
26 6 774 314
23 7 936 609
19 16 1351 615
19 26 309 271
7 10 1630 963
22 22 265 766
29 19 1268 1095
23 29 1232 389
28 16 327 1010
22 3 1565 763
13 16 1785 297
13 6 580 558
22 29 1500 828
7 16 764 617
28 25 952 377
10 19 709 692
20 13 636 446
16 3 1518 1053
10 6 1747 577
23 3 1396 143
25 22 471 448
26 22 1513 447
3 3 699 786
3 13 530 916
6 10 465 900
3 13 751 234
6 6 1058 294
3 3 1563 535
10 23 1205 1088
6 19 1185 822
19 26 836 356
7 13 1210 414
6 19 406 430
16 16 772 229
3 23 697 699
19 22 1200 449
