id volMax pesoMax custo
21 368 308 16575
373 310 387 14105
1308 287 342 15977
895 378 272 15057
51 388 268 14521
200 285 258 13044
197 268 346 14777
886 388 268 14521
259 391 395 13796
310 292 289 14548
794 253 386 13481
376 292 316 16581
1332 281 287 14581
647 365 301 13406
237 285 258 13044
619 325 316 13378
1321 391 395 13796
1265 325 316 13378
842 394 351 15473
361 258 289 14932
697 385 254 14819
1226 336 345 14342
1016 265 274 14952
444 365 301 13406
445 376 262 16090
202 365 259 16982
780 394 379 13241
557 388 268 14521
120 253 386 13481
483 397 321 13931
1139 393 377 16543
951 262 384 15363
1245 376 262 16090
879 268 346 14777
765 335 265 15168
