id volume peso recompensa duração(s)
11222 16 16 527 1100
4508 3 19 952 540
789 10 10 588 654
11860 26 29 610 917
10823 23 7 936 609
5116 16 3 1518 1053
11898 26 22 1487 269
8708 13 29 1255 923
9485 16 13 367 703
12249 13 25 550 100
8719 13 10 483 694
359 26 26 716 445
9292 19 6 1813 756
11903 10 26 1843 187
13901 25 13 546 1056
3740 6 19 996 631
10521 16 3 477 194
409 16 10 1309 888
7645 20 10 1663 207
3609 19 26 836 356
8267 13 16 1838 354
11745 9 13 1442 168
1763 6 6 442 900
4408 3 16 1391 846
2102 19 9 1897 881
9452 20 16 823 524
12653 16 13 1121 641
6502 22 10 1233 546
13799 22 28 347 1058
11165 28 22 1166 491
11956 23 26 1594 1052
2823 13 20 1925 840
6373 29 16 1051 169
5597 7 26 1166 552
11934 26 7 618 442
7394 26 6 1627 732
13141 26 26 716 445
8122 25 28 1521 284
7411 19 3 1982 619
6861 20 16 823 524
1227 23 26 1913 600
6634 19 13 1688 640
11470 28 19 828 888
6742 13 25 550 100
6681 10 6 542 430
4509 19 25 305 782
6906 13 9 1857 1017
5954 20 13 1542 128
6503 7 23 1303 229
11818 19 13 1040 651
11022 23 16 1936 498
6358 19 3 638 618
3039 16 29 1593 882
700 6 3 615 970
5267 26 22 1348 605
12791 6 10 1572 528
1717 29 16 1442 123
1510 23 13 206 128
9211 7 3 1607 273
10141 22 19 470 470
12821 19 13 1904 276
9228 26 22 1628 925
2681 10 3 547 766
6771 20 7 386 964
11519 29 16 584 203
9637 10 26 410 192
2027 16 16 1633 195
5059 6 16 647 872
6700 16 29 1739 656
2682 13 13 1008 398
1422 20 13 848 198
13245 13 3 203 818
7574 19 26 309 271
3204 7 26 1166 552
13695 7 26 634 751
10792 25 19 1889 468
3124 29 13 1014 130
5544 6 26 1991 318
13330 19 28 213 755
7646 25 13 1251 384
154 10 10 1856 576
14114 19 9 1059 580
776 22 25 914 337
4335 29 20 1991 704
12069 13 6 580 558
10983 16 13 707 359
6020 23 7 983 372
1047 6 6 1445 1014
12810 19 3 638 618
6185 19 13 1875 107
2474 29 22 561 236
10283 10 19 1278 267
2848 16 28 1821 660
1224 19 22 1897 986
7089 13 26 1253 542
12779 22 10 1848 196
14063 25 28 1521 284
9647 3 20 1263 905
3007 29 16 584 203
13764 26 19 1397 1043
13288 22 10 1848 196
2370 22 28 347 1058
11335 7 3 1823 958
2300 7 7 501 800
7874 13 6 1475 889
7480 7 26 1257 632
10537 3 16 1796 762
1820 3 13 685 443
8666 23 26 1594 1052
2579 6 6 442 900
6701 25 13 546 1056
4232 22 13 293 191
12994 19 6 324 237
10183 29 26 1724 482
1042 28 6 1636 436
9513 7 3 1607 273
11483 20 13 848 198
2814 26 29 610 917
9505 6 6 1445 1014
7795 3 19 952 540
2651 10 29 1065 111
261 16 13 1477 513
12229 13 22 590 660
1767 3 3 575 287
6591 25 22 861 590
4617 26 13 1295 104
13772 22 19 287 752
8382 13 29 1255 923
10634 23 13 206 128
7750 7 26 1257 632
696 6 16 1023 132
3337 3 16 1796 762
8142 19 29 1523 353
6072 23 23 1366 481
4010 13 25 1026 365
12932 13 6 1987 926
1113 19 13 1688 640
6796 10 3 1641 417
9081 29 20 1704 502
13370 16 26 1590 728
9918 6 19 1591 138
5156 6 10 1572 528
3717 10 13 1315 328
3282 20 13 1542 128
2066 6 10 1572 528
4750 16 6 1332 642
7389 13 9 1857 1017
1819 22 3 1565 763
12277 13 3 455 292
2336 9 9 427 447
11922 29 10 243 775
343 3 10 579 103
4323 16 23 746 416
10891 3 22 1768 195
12189 20 23 204 293
4265 3 20 1434 362
3088 20 10 1569 720
11374 7 7 1524 189
10007 22 6 683 553
12772 10 26 1843 187
13112 16 29 1694 404
10701 3 13 1210 892
4532 25 28 1909 396
513 22 28 1002 795
6968 3 23 697 699
2547 19 19 1990 106
6011 10 19 1278 267
