Truck_id: 25
Total Reward: 27534€
=================================
  OrderId			Reward
=================================
     4			    1991€
     7			    1967€
    17			    1410€
    18			    1432€
    50			    1263€
    73			    1627€
    77			    1925€
    82			    1784€
   101			    1663€
   104			    1309€
   115			    1688€
   154			     795€
   156			    1897€
   162			    1873€
   176			    1569€
   197			    1434€
   199			    1477€
   229			    1188€
   266			    1577€
   297			    1953€
   325			    1062€
   328			    1990€
   334			    1956€
   347			    1315€
   389			    1396€
   422			    1936€
   439			    1105€
=================================
N_Orders: 27	T_Reward: 42582€
